rank,SASRec,BERT4Rec,"gSASRec (256 negatives, t=1.0)"
1,0.9962993264198303,0.07628560811281204,0.02461567521095276
2,0.9960111379623413,0.07492898404598236,0.024595441296696663
3,0.9953675270080566,0.06011098250746727,0.024374259635806084
4,0.9940019249916077,0.04833885282278061,0.02386031486093998
5,0.9939729571342468,0.03850497677922249,0.020771915093064308
6,0.9937264919281006,0.025840628892183304,0.020166857168078423
7,0.9933475852012634,0.024248888716101646,0.019676482304930687
8,0.9930849075317383,0.022196544334292412,0.019475996494293213
9,0.9928366541862488,0.021916911005973816,0.01841721683740616
10,0.9907249808311462,0.021094730123877525,0.018241465091705322
11,0.9903040528297424,0.020519258454442024,0.017095057293772697
12,0.9898966550827026,0.016817471012473106,0.01655018888413906
13,0.9898865222930908,0.015098543837666512,0.016283554956316948
14,0.9894233345985413,0.014712878502905369,0.013432986102998257
15,0.9891701340675354,0.012973029166460037,0.012921992689371109
16,0.9887431859970093,0.012805947102606297,0.011900542303919792
17,0.9878990054130554,0.012181154452264309,0.01108340173959732
18,0.9877423048019409,0.0119493892416358,0.011058546602725983
19,0.9865593910217285,0.011712854728102684,0.010883375070989132
20,0.9857596755027771,0.011084066703915596,0.01068724226206541
21,0.9842228293418884,0.01017608493566513,0.009810390882194042
22,0.9837918281555176,0.009816053323447704,0.009565455839037895
23,0.983677864074707,0.009681413881480694,0.009541529230773449
24,0.9835057854652405,0.008400844410061836,0.009324110113084316
25,0.9830285310745239,0.00801815278828144,0.009234482422471046
26,0.9828796982765198,0.007900843396782875,0.009206432849168777
27,0.9825626611709595,0.007314005400985479,0.00910755805671215
28,0.9812798500061035,0.0066872863098979,0.008909568190574646
29,0.9810371994972229,0.006570960395038128,0.00873919390141964
30,0.9790498614311218,0.00636162469163537,0.008718650788068771
31,0.9787272810935974,0.0059343986213207245,0.008424612693488598
32,0.9784901738166809,0.005819236859679222,0.008338971994817257
33,0.9783370494842529,0.005758271086961031,0.00822800025343895
34,0.9780856370925903,0.005121900234371424,0.008140455931425095
35,0.9778924584388733,0.004681688733398914,0.00812097080051899
36,0.9773191809654236,0.004653265234082937,0.007967119105160236
37,0.976757824420929,0.004575283732265234,0.007852581329643726
38,0.976601243019104,0.004333080258220434,0.00776752969250083
39,0.9765675663948059,0.004212301690131426,0.007362054660916328
40,0.975449800491333,0.003804243402555585,0.007327123079448938
41,0.974989652633667,0.0037092724815011024,0.007007785607129335
42,0.9737437963485718,0.0036325512919574976,0.006770632695406675
43,0.9735382199287415,0.0035794880241155624,0.006610938813537359
44,0.9728299975395203,0.0033057592809200287,0.006405563093721867
45,0.9725362062454224,0.0032519714441150427,0.0064044855535030365
46,0.9724447727203369,0.0032017393968999386,0.006353752221912146
47,0.9699183106422424,0.003197559854015708,0.006182187702506781
48,0.9681189060211182,0.002982983598485589,0.0061394828371703625
49,0.9679766893386841,0.002814469626173377,0.00612662173807621
50,0.9679595232009888,0.002711306093260646,0.006111344788223505
51,0.9674519896507263,0.0027072839438915253,0.006067509762942791
52,0.9674025774002075,0.002704404527321458,0.006005540024489164
53,0.9663730263710022,0.0026608502957969904,0.0058972653932869434
54,0.9643220901489258,0.0026349585969001055,0.005895867478102446
